nombre,descripcion,precio,precio_oferta,imagen_url,categoria,origen,link
"Soporte Celular Brazo Parasol Automóvil Soporte para celular y cámara de teléfono con excelente estabilidad.Para que puedas relajarte manejando tu dispositivo sin tener que sacrificar la comodidad.Soporte para celular y cámaras.Ideal para manejar sin preocuparse de tu celular, plegable y fácil de transportar. Despacho Agregar",N/A,$7.990,$7.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/audifonos-y-accesorios/soporte-celular-brazo-parasol-automovil/00046501543387
"Soporte Celular Automóvil Magnético 360° Soporte de Automóvil Magnético 360 grados magnético.Diseño cuadrado de cabezal magnet, cuatro imanes magnéticos fuertes 10 * 3, firmemente adsorbidos.Ordenado y compacto, instalado en la salida de aire, sin bloquear la línea de visión. Despacho Agregar",N/A,$10.990,$10.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/accesorios-de-auto/soporte-celular-automovil-magnetico-360/00046816627517
"Soporte Celular Telescópico Automóvil Negro Phone 12, 11 Pro, Xs, Xr, 8s, 8 Plus, Samsung Galaxy S21+, Note 20, HTC ONE, LG, Sony Xperia, Google Nexus Pixel y otros teléfonos móviles.Fuerte ventosa, en la base de nuestro soporte de teléfono para parabrisas, hay una fuerte ventosa para el salpicadero de tu coche, espejo o parabrisas. Despacho Agregar",N/A,$7.990,$7.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/audifonos-y-accesorios/soporte-celular-telescopico-automovil-negro/00046879928513
"Masajeador Anti Celulitis Con Rodillos Infrarrojo Actúa mediante el principio de succión, aplicando la ya conocida y exitosa técnica de Vacumterapia.Celluless le ayudara a estimular la circulación sanguínea, mejorar la apariencia de su piel, adelgazar distintas partes del cuerpo, reducir el vientre, disminuir la celulitis y elevar los gluteos;TODO EN LA COMODIDAD DE SU CASA!!!!Amplia aplicación: brazos, abdomen, espalda, glúteos, glúteos, piernas y masajear los pechos hacen que la piel de todas las partes sea más joven y brillante.Material: de plástico Tamaño: 29 cm x 8 cm x 23 cm Color: blanco Tipo de enchufe: Enchufe europeo y estadounidense Producto 100% recomendado. Despacho Agregar",N/A,$34.990,$34.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/salud-y-bienestar/masajeador-anti-celulitis-con-rodillos-infrarrojo/00047000014196
"Soporte Celular Para Bicicleta Metálico Negro Soporte para Teléfono Metálico Bicicleta Negro Especificaciones: Material: aleación de aluminio 7075 Teléfonos de: 6 - 10 cm de ancho Diámetro de abrazadera fijo: 32mm (con ajuste de 22mm y 28mm) Características: Ancho ajustable-Compatible con la mayoría de los teléfonos móviles, GPS, puede ajustar el ancho de 60mm a 100mm para adaptarse al teléfono móvil.Material de aleación de aluminio más fuerte con esponja, el soporte de metal para teléfono mantendrá su teléfono móvil firmemente en la bicicleta.Se puede utilizar en motocicleta/MTB/bicicleta de carretera/bicicleta eléctrica/bicicleta plegable/scooter, etc.Incluye: 1x Soporte 1x Abrazadera de fijación 2x Goma para ajuste de abrazadera 1x Llave allen 4x Gomas antideslizantes Despacho Agregar",N/A,$8.990,$8.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/bicicletas/soporte-celular-para-bicicleta-metalico-negro/00047000026552
"Soporte Celular Para Bicicleta Metálico Rojo Soporte para Teléfono Metálico Bicicleta Rojo Especificaciones: Material: aleación de aluminio 7075 Teléfonos de: 6 - 10 cm de ancho Diámetro de abrazadera fijo: 32mm (con ajuste de 22mm y 28mm) Características: Ancho ajustable-Compatible con la mayoría de los teléfonos móviles, GPS, puede ajustar el ancho de 60mm a 100mm para adaptarse al teléfono móvil.Material de aleación de aluminio más fuerte con esponja, el soporte de metal para teléfono mantendrá su teléfono móvil firmemente en la bicicleta.Se puede utilizar en motocicleta/MTB/bicicleta de carretera/bicicleta eléctrica/bicicleta plegable/scooter, etc.Incluye: 1x Soporte 1x Abrazadera de fijación 2x Goma para ajuste de abrazadera 1x Llave allen 4x Gomas antideslizantes Despacho Agregar",N/A,$8.990,$8.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/bicicletas/soporte-celular-para-bicicleta-metalico-rojo/00047000026553
"Cyber Lider Rebaja $56.790 $99.990 Ahorra $43.200 Bmobile Lava Smartphone Bmobile Lava Z4 Plus 4g GPS‎True. Special features‎Dual SIM, Expandable Memory, Mobile Hotspot Capability. Battery Power Rating‎4000 Milliamp Hours. Whats in the box‎Power Adapter, SIM Tray Ejector, Phone Case, USB Cable. Despacho Agregar",N/A,$56.790,$56.790,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/telefonia/smartphone-bmobile-lava-z4-plus-4g/00081734201651
Smartphone G85 5g 256gb Verde Smartphone G85 5G 256GB Verde Despacho Agregar,N/A,$189.990,$189.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/telefonia/smartphone-g85-5g-256gb-verde/00084002326374
Smartphone G05 4g 64gb Rojo Smartphone Moto G05 4G 64GB Rojo Despacho Agregar,N/A,$89.990,$89.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/marcas-destacadas/smartphone-g05-4g-64gb-rojo/00084002328045
Smartphone G05 4g 64gb Verde Smartphone G05 4G 64GB Verde Despacho Agregar,N/A,$79.990,$79.990,N/A,Celulares en oferta,catalogo/v (estático),https://lider.cl/ip/marcas-destacadas/smartphone-g05-4g-64gb-verde/00084002328047
"Juego Sabanas Lisa 2 Plazas + Fundas Negro Sorpréndete con hermosos y entretenidos colores, inspirados en las últimas tendencias para que tu descanso no sólo sea en una cama linda, sino también en la más confortable.Es hora de que vistas tu cama con modelos de inspiración, para darle un estilo diferente a tu dormitorio Despacho Agregar",N/A,$12.990,$12.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/ropa-y-accesorios-de-cama/juego-sabanas-lisa-2-plazas-fundas-negro/00047000049496
"Juego Sabanas Lisa 1.5 Plazas + Fundas Negro Sorpréndete con hermosos y entretenidos colores, inspirados en las últimas tendencias para que tu descanso no sólo sea en una cama linda, sino también en la más confortable.Es hora de que vistas tu cama con modelos de inspiración, para darle un estilo diferente a tu dormitorio Despacho Agregar",N/A,$11.990,$11.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/ropa-y-accesorios-de-cama/juego-sabanas-lisa-1-5-plazas-fundas-negro/00047000049495
Lampara Cuerda Vintage E27 1 Metro Decoracion Lampara colgante vintage Incluye soquete Base E27 Diseño único y elegante Medidas: 1 metro de largo No incluye ampolleta Despacho Agregar,N/A,$8.990,$8.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/decoracion/lampara-cuerda-vintage-e27-1-metro-decoracion/00047000049147
Alfombra Didáctica Antigolpes Reversible Bebé 90x120 Cm Alfombra antigolpes reversible para bebé Medidas: 90 cm ancho x 120 cm largo Material: espuma de poliuretano Diseño: se envía según disponibilidad Despacho Agregar,N/A,$5.990,$5.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/actividades-y-estimulacion/alfombra-didactica-antigolpes-reversible-bebe-90x120-cm/00047000049155
"Puff Silla Cubo Organizador Plegable Multifuncional 38cm Gris ¡Haz tu selección!Somos CRUSEC Dimensiones: 38 x 38 x 38 cm Ideal para descansar, leer, jugar o decorar cualquier espacio.Puedes usarlo como asiento, reposapiés, mesa auxiliar o cojín. Despacho Agregar",N/A,$12.990,$12.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/dormitorio/puff-silla-cubo-organizador-plegable-multifuncional-38cm-gris/00735011841709
Adaptador De Sierra Para Taladro Adaptador de taladro para sierras eléctricas Incluye: 2 hojas de sierra para madera y 1 hoja de sierra para metal Medidas de las cuchillas: 10 cm / 13 cm / 14.5 cm Material: ABS + metal Color: negro Medidas de la biela del taladro eléctrico: 8 mm / 0.3in Despacho Agregar,N/A,$6.990,$6.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/herramientas/adaptador-de-sierra-para-taladro/00047000049392
Audifonos Inalámbricos Gamer Bluetooth Ks08 Negro Audífonos inalámbricos KS08 Bluetooth: 5.0 Incluye: 1 estuche de carga y 1 cable USB Alcance inalámbrico de 10 metro Capacidad de la batería: 250 m.Ah Impermeable resistencia al agua IPX7 Despacho Agregar,N/A,$12.990,$12.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/audio/audifonos-inalambricos-gamer-bluetooth-ks08-negro/00047000049111
"Mini Sierra Inalámbrica Recargable Portatil Material: ABS + metal Medidas: 40 alto x 12 ancho x 12 largo Color principal: Negro.Tipo de alimentación: Batería de litio, 98V, 2000 m.Ah Incluye: cargador - 2 batería - atornillador - cadena - llave tubo Motosierra eléctrica recargable, ligera y portátil, batería de larga duración, sin daños en la corteza Despacho Agregar",N/A,$32.990,$32.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/herramientas/mini-sierra-inalambrica-recargable-portatil/00047000049414
"Consola Portátil 400 Juegos Retros Clásicos Consola retro mini portatil recargable Pantalla LCD a color de 3,0 pulgadas Incluye: 400 juegos clásicos, 1 cable AV, 1 cable USB, 1 batería y hoja de instrucciones Medidas: 8 cm largo x 12 cm alto x 2 cm ancho Peso: 95 gr.Dispositivo digital multiplataforma, puede reproducirse en TV 6 horas de juego continuo Diseño se envía según disponibilidad Despacho Agregar",N/A,$13.990,$13.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/videojuegos/consola-portatil-400-juegos-retros-clasicos/00047000049447
"Audífonos Inalámbricos Auriculares Bluetooth M19 Audífonos inalámbricos M19 Compatibilidad: android, IOS, sistema Windows.Versión inalámbrica: V5.3 Incluye: 1 estuche de carga y 1 cable USB Alcance inalámbrico de 10 metro Salida: 5 V 1 A Tiempo de carga: aproximadamente 2 horas Reproducción de música: aproximadamente 5 horas Despacho Agregar",N/A,$4.990,$4.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/audifonos-y-accesorios/audifonos-inalambricos-auriculares-bluetooth-m19/00047000049452
"Cargador De Batería Automóvil Inteligente 12v - 24v El cargador de baterías inteligente de alta resistencia está diseñado por expertos para atender a una amplia gama de baterías, incluidas baterías de plomo-ácido, de celda seca, de agua y sin mantenimiento, sin admitir baterías de litio. Cuenta con funciones integrales como detección, reparación, activación y carga, lo que la convierte en una herramienta versátil para varios tipos de baterías. Este cargador rápido de batería de alta potencia cuenta con una pantalla digital inteligente LED que identifica automáticamente la capacidad, la corriente y el voltaje de la batería. Con un simple inició con un solo botón y un apagado automático cuando se carga por completo, ajusta inteligentemente la corriente y reconoce baterías de 12 V/24 V, simplificando el proceso de carga. Despacho Agregar",N/A,$16.990,$16.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/herramientas/cargador-de-bateria-automovil-inteligente-12v-24v/00047000049501
"Mini Consola Retro 620 Juegos Clasicos Vintage Mini consola retro portatil Incluye: 620 juegos clásicos, 1 cable AV, 2 controles, cable alimentación y hoja deinstrucciones Medidas consola: 13 cm largo x 10 cm ancho x 4,5 cm alto Medidas controles: 12,5 cm largo x 2 cm ancho x 5 cm alto Juegos clásicos: super mario , contra, serie riki kunio , lista de juegos de la series TMNT Despacho Agregar",N/A,$21.990,$21.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/videojuegos/mini-consola-retro-620-juegos-clasicos-vintage/00047000013389
Pizarra Adhesiva Plumón Negra Pizarra adhesiva Incluye tiza de colores Puedes cortarla a la medida deseada Medidas: 2 metros x 45 cm de ancho Color: Negro Despacho Agregar,N/A,$3.990,$3.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/didacticos-y-recreativos/pizarra-adhesiva-plumon-negra/00047000015527
Arbol Navidad Pino Frondoso Verde 210 Cm Árbol de navidad pino frondoso Material: sintético y base metalica Color: verde Despacho Agregar,N/A,$23.990,$23.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/decoracion/arbol-navidad-pino-frondoso-verde-210-cm/00047000049446
"Lampara Reflector Con Panel Solar + Control Esta luz de portátil LED para exteriores, luz de emergencia, luz de trabajo, hace que sea más conveniente para su uso. También es una iluminación exterior, luz de camping, luz de pesca, luz de caza, puede hacer que sus deportes de entretenimiento al aire libre tengan una iluminación garantizada. Despacho Agregar",N/A,$18.990,$18.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/iluminacion-y-electricidad/lampara-reflector-con-panel-solar-control/00047000049497
"Cargador De Batería Automóvil Inteligente 6v-12v El cargador de batería de automóvil tiene las funciones de ajustar automáticamente la compensación de temperatura en climas cálidos y cargar muy poco en climas fríos para maximizar la eficiencia de carga. Conéctalo fácilmente y cárgalo sin salir de casa, lo que lo hace más cómodo y fácil de usar. El cable negro al negativo y el cable rojo al positivo se pueden usar al conectarlo a la batería. Despacho Agregar",N/A,$10.990,$10.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/herramientas/cargador-de-bateria-automovil-inteligente-6v-12v/00047000049500
Base Multiuso Ajustable Con Ruedas Para Electrodomésticos Base ajustable multiuso Material: metal y plástico Úsalo para trasladar los muebles o cargas que sean difíciles de desplazar en la casa.Medidas: 40cm x 40cm ajustable hasta 56cm x 56cm Resiste hasta 120 kilos Incluye 4 ruedas universal de aleación de freno (móvil y fija) y rotación 360 Despacho Agregar,N/A,$14.990,$14.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/almacenamiento-y-organizacion/base-multiuso-ajustable-con-ruedas-para-electrodomesticos/00047000016852
Fuente Solar Bomba De Agua Flotante Riego Bomba flotante de agua solar Dimensiones: 16 cm Flota en el agua y no necesita electricidad Incluye 5 cabezales rociadores Adecuado para múltiples lugares Color: negro Despacho Agregar,N/A,$8.990,$8.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/cuidado-de-jardin/fuente-solar-bomba-de-agua-flotante-riego/00047000049185
"Linterna Led Solar Camping Portátil Recargable Linterna LED Solar Material: ABS Plástico Flujo luminoso: 300lm Impermeable, resistente al calor, agua y viento Medidas Linterna: 9.5 cm alto x 9.5 cm largo x 5 cm ancho 5 modos de iluminación Luz: Blanca led Incluye: 1 linterna LED solar, 1 cable USB tipo C Método de carga: panel solar y cable tipo C Batería: 1200m.Ah Tiempo de carga: Carga rápida de 2-3 horas con cable USB Tipo C incluido Autonomía de 6-8 horas , perfecto para un uso prolongado. Despacho Agregar",N/A,$7.990,$7.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/iluminacion-y-electricidad/linterna-led-solar-camping-portatil-recargable/00047000049457
Pantys Efecto Piel Con Polar Otoño/invierno Disfruta la comodidad de las pantys efecto piel con un material súper elásticado que se amoldea a la perfección. Despacho Agregar,N/A,$7.990,$7.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/ropa-interior-y-pijamas/pantys-efecto-piel-con-polar-otono-invierno/00047000049517
Termometro Cocina Digital Alimentos Reposteria Termómetro digital de cocina Utiliza 1 pila AG-13 (incluida) Indicador de batería baja Incluye 1 estuche plástico y 1 manual Rango medida: -50 °C a + 300 °C ( -58 °F a +572 °F) Exactitud: +- 0.5 °C Pantalla digital LCD Función de memoria de última medición Función de apagado automático después de 15 minutos sin uso Despacho Agregar,N/A,$4.990,$4.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/menaje-cocina/termometro-cocina-digital-alimentos-reposteria/00047000024437
"Linterna Led Portatil Recargable De Mano Linterna led recargable y luz led Incluye: cajita para guardar la linterna y cable USB Material: acero inoxidable Gire la cabeza para ajustar el atenuador de zoom de x1, x250, x500, x1000, x2000 Botón pulsador con tres niveles de salida: 1 de luz alta, 2 intermitente, 3 luz led Medidas: 9 cm largo x 2 cm diametro Portátil es fácil de caber en el bolsillo para viajar y usar al aire libre y para llevarlo donde quieras Rango de haz: 800m Despacho Agregar",N/A,$4.990,$4.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/iluminacion-y-electricidad/linterna-led-portatil-recargable-de-mano/00047000046350
"Antena Corta Hilo Curado Moto Retractil Cromada Antena de seguridad corta hilo curado Vástago de acero Abrazadera de aluminio Incluye llave allen para un optimo ajuste Protege pecho, cuello y brazos del conductor y el pasajero situado cerca del puño del manillar Compatible con volantes de 7/8 (22mm) Extendible hasta 65 cm Color: gris Despacho Agregar",N/A,$9.990,$9.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/motocicletas/antena-corta-hilo-curado-moto-retractil-cromada/00047000046364
Linterna Led Cintillo Con Sensor Recargable 350 Lumenes Cintillo faro linterna frontal LED Medidas: elástico ajustable Material: ABS Color: Negro Brillo máximo: 350LM Potencia: 10W Función: Luz fuerte-luz baja-inducción manual ondulada Impermeable: IPX4 Área de Irradiación: 50 metros cuadrados Cuentas de lámpara: COB + XPE Método de carga: USB (incluido) Tiempo de carga: 4h Tiempo de uso: 3-8h Despacho Agregar,N/A,$5.990,$5.990,N/A,Ofertas dormitorio,catalogo/v (estático),https://lider.cl/ip/iluminacion-y-electricidad/linterna-led-cintillo-con-sensor-recargable-350-lumenes/00047000049118
